# x0,y0,x1,y1,color (grid 51x51)
22,1,32,7,gebrokenwit
19,5,21,7,lichtgrijs
27,23,30,25,geel
9,22,11,24,donkerblauw
9,25,11,26.5,grijs
9,26.5,11,29,blauw
11,31,14,33,geel
15,37,18,38,geel
23,37,27,38,grijs
23,43.5,27,46,geel
32,37.5,35,38,grijs
40.5,21,43,23.5,geel
30.5,18,35,20,grijs
46,21,51,28,grijs
38.5,33,41,34,rood
27,27,30,29,rood
14.5,11,19,13.5,geel
20,12,23,13.5,blauw
19,17,23,20,grijs
22,8,32,10,grijs
26.5,41,31,42,geel
23,47,29,51,grijs
19,32,23,35,blauw
19,34,23,35,rood
28,37,31,38,rood
30.5,12,35,13,rood
30.5,14.5,34,17,geel
9,22,11,24,blauw
39,17,41,18,grijs
16,28,18,29,rood
37.5,31,41,32,geel
29.5,27,32,29,blauw
17,9,grijs
17,10,17,11,rood
20,11,rood
21,11,geel
22,11,rood
23,11,geel
24,11,zwart
25,11,gebrokenwit
26,11,zwart
27,11,geel
28,11,zwart
29,11,geel
30,11,donkerrood
31,11,geel
32,11,zwart
33,11,gebrokenwit
34,11,zwart
35,11,rood
36,11,zwart
37,11,geel
33,7,geel
33,8,34,8,rood
36,10,rood
12,14,13,15,geel
14,14,15,15,blauw
11,16,12,17,rood
13,16,blauw
14,16,15,16,geel
9,17,10,19,grijs
11,18,12,19,geel
13,17,13,18,rood
14,17,15,18,blauw
5,18,8,21,grijs
12,19,15,20,grijs
12,21,13,21,rood
14,21,15,21,blauw
5,24,6,26,beige
7,26,8,27,rood
7,29,8,30,rood
6,28,6,29,zwart
12,26,13,27,geel
12,24,14,24,grijs
17,24,18,25,geel
32,23,34,24,grijs
29,23.5,30.5,25,blauw
42,25,44,26,rood
42,27,44,28,grijs
44,31,45,32,grijs
42,32,43,34,blauw
47,29,48,30,geel
45,19,46,20,geel
39,14,40,14,geel
39,16,40,16,blauw
41,16,42,16,geel
43,16,44,17,grijs
14.5,32,18,33,grijs
9,34,12,35,blauw
13,34,14,35,rood
20,39,22,41,blauw
24,41,27,42,grijs
28,45,31,46,grijs
31.5,41,33,42,grijs
32,42,33,43,blauw
42,44,43,44,geel
34,42,35,42,rood
22,42,23,42,rood
15,41,17,41,grijs
5,31,8,31,grijs
39,20,42,20,grijs
43,20,44,20,blauw
33,19,zwart
43,20,geel
47,23,zwart
47,26,geel
48,26,donkergrijs
13,20,wit
8,20,blauw
9,29,donkerrood
21,33,geel
40,34,geel
25,37,zwart
21,40,geel
17,32,rood
16,14.5,grijs
17,14.5,rood
18,14.5,grijs
19,14.5,zwart
20,14.5,geel
21,14.5,rood
22,14.5,gebrokenwit
23,14.5,rood
